"","title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","first","overall_cor","uniqueStatement","relError","name1_error","name2_error","dayblock","date","stoIdx2","condStoIdx","primed","timeDragLog"
"398","robber","Orok,Assit,Ofes,Lyde,Ofpoz,Ezol","analogues","hebb",10,345257,"0.0-4.0-6.0","8b02mgpacf8u",NA,"Criminal Orok learns about security issue Assit.","Orok","learns about",19104,3,"learns about","Orok","Ofes","Assit","1",8,TRUE,FALSE,TRUE,0,0.666666666666667,"robber1","none","none","inter-stat","afternoon",NA,4,2,0,9.857705359881
"3981","robber","Orok,Assit,Ofes,Lyde,Ofpoz,Ezol","analogues","hebb",10,345257,"0.0-4.0-6.0","8b02mgpacf8u",NA,"Security issue Assit suspends alarm system of museum Ofes.","Ofes","is hijacked",14032,4,"suspends sth. of","Assit","Assit","Ofes","2",8,FALSE,FALSE,FALSE,0,0,"robber2","order-grasyn","intra-stat","intra-stat","afternoon",NA,4,2,0,9.54916697775114
"3982","robber","Orok,Assit,Ofes,Lyde,Ofpoz,Ezol","analogues","hebb",10,345257,"0.0-4.0-6.0","8b02mgpacf8u",NA,"Museum Ofes gets robbed.","Assit","is hijacked",7136,2,"gets robbed","Ofes",NA,NA,"3",8,FALSE,NA,FALSE,0,0,"robber3","grasyn","inter-stat",NA,"afternoon",NA,4,2,0,8.87304779897107
"399","storm","Niem,Wecin,Ewey,Ohuy,Gena,Misug","fillers","hebb",11,384257,"0.0-4.0-7.0","8b02mgpacf8u",NA,"Storm Niem hits tree Wecin.","Niem","hits",12869,3,"hits","Niem","Ewey","Wecin","1",9,TRUE,FALSE,TRUE,0,0.666666666666667,"storm1","none","none","inter-stat","afternoon",NA,5,3,1,9.46265430059017
"3991","storm","Niem,Wecin,Ewey,Ohuy,Gena,Misug","fillers","hebb",11,384257,"0.0-4.0-7.0","8b02mgpacf8u",NA,"Tree Wecin falls on trail of route Ewey.","Ewey","is jammed",8336,3,"falls on","Wecin","Ohuy","Ewey","2",9,FALSE,FALSE,FALSE,0,0,"storm2","order-syno","intra-stat","other","afternoon",NA,5,3,1,9.02845871841061
"3992","storm","Niem,Wecin,Ewey,Ohuy,Gena,Misug","fillers","hebb",11,384257,"0.0-4.0-7.0","8b02mgpacf8u",NA,"Route Ewey is blocked.","Ohuy","is jammed",7280,3,"is blocked","Ewey",NA,NA,"3",9,FALSE,NA,FALSE,0,0,"storm3","syno","other",NA,"afternoon",NA,5,3,1,8.89302349439471
"400","neighbor","Diaf,Vivaf,Ribi,Adjo,Fozeh,Potho","fillers","hebb",12,421312,"0.0-4.0-8.0","8b02mgpacf8u",NA,"Man Diaf takes care of cat Vivaf.","Diaf","looks after",12240,3,"takes care of","Diaf","Vivaf","Vivaf","1",10,TRUE,TRUE,FALSE,0,0.666666666666667,"neighbor1","syno","none","none","afternoon",NA,6,4,0,9.41254625207551
"4001","neighbor","Diaf,Vivaf,Ribi,Adjo,Fozeh,Potho","fillers","hebb",12,421312,"0.0-4.0-8.0","8b02mgpacf8u",NA,"Cat Vivaf walks over the flowers of neighbor Ribi","Vivaf","strays over to",9864,3,"walks over sth. of","Vivaf","Ribi","Ribi","2",10,TRUE,TRUE,FALSE,0,0.666666666666667,"neighbor2","grasyn","none","none","afternoon",NA,6,4,0,9.19674841845672
"4002","neighbor","Diaf,Vivaf,Ribi,Adjo,Fozeh,Potho","fillers","hebb",12,421312,"0.0-4.0-8.0","8b02mgpacf8u",NA,"Neighbor Ribi gets angry.","Ribi","gets angry",4448,2,"gets angry","Ribi",NA,NA,"3",10,TRUE,NA,TRUE,0,1,"neighbor3","none","none",NA,"afternoon",NA,6,4,0,8.40043463080604
"4011","crusader","Hosen,Idog,Thyra,Upno,Turow,Ena","analogues","hebb",13,462312,"0.0-4.0-9.0","8b02mgpacf8u",NA,"Crusader group Hosen buys weapon Idog.","Hosen","acquires",10728,3,"buys","Hosen","Idog","Idog","1",11,TRUE,TRUE,FALSE,0,0.666666666666667,"crusader1","syno","none","none","afternoon",NA,7,3,1,9.28070563463675
"4012","crusader","Hosen,Idog,Thyra,Upno,Turow,Ena","analogues","hebb",13,462312,"0.0-4.0-9.0","8b02mgpacf8u",NA,"Weapon Idog breaches the fortification of town Thyra.","Idog","is invaded",15264,3,"breaches sth. of","Idog","Thyra","Thyra","2",11,TRUE,TRUE,FALSE,0,0.666666666666667,"crusader2","order","none","none","afternoon",NA,7,3,1,9.63331790516898
"4013","crusader","Hosen,Idog,Thyra,Upno,Turow,Ena","analogues","hebb",13,462312,"0.0-4.0-9.0","8b02mgpacf8u",NA,"Town Thyra is invaded.","Thyra","is invaded",4504,2,"is invaded","Thyra",NA,NA,"3",11,TRUE,NA,TRUE,0,1,"crusader3","none","none",NA,"afternoon",NA,7,3,1,8.41294317004244
"4021","lawyer","Eshov,Rove,Ubug,Eyem,Aid,Wutoc","analogues","hebb",14,499732,"0.0-4.0-10.0","8b02mgpacf8u",NA,"Lawyer Eshov finds loophole Rove.","Eshov","finds",8720,3,"finds","Eshov","Rove","Rove","1",12,TRUE,TRUE,TRUE,0,1,"lawyer1","none","none","none","afternoon",NA,8,4,0,9.07348918922699
"4022","lawyer","Eshov,Rove,Ubug,Eyem,Aid,Wutoc","analogues","hebb",14,499732,"0.0-4.0-10.0","8b02mgpacf8u",NA,"Loophole Rove bypasses contract of union Ubug.","Rove","overrides sth. of",11048,3,"bypasses sth. of","Rove","Ubug","Ubug","2",12,TRUE,TRUE,FALSE,0,0.666666666666667,"lawyer2","syno","none","none","afternoon",NA,8,4,0,9.31009520511317
"4023","lawyer","Eshov,Rove,Ubug,Eyem,Aid,Wutoc","analogues","hebb",14,499732,"0.0-4.0-10.0","8b02mgpacf8u",NA,"Union Ubug loses a lawsuit.","Ubug","forfeits sth.",7144,2,"loses sth.","Ubug",NA,NA,"3",12,TRUE,NA,FALSE,0,0.5,"lawyer3","syno","none",NA,"afternoon",NA,8,4,0,8.87416809036397
"405","employee","Lothe,Rivo,Zimob,Newi,Thusoth,Pishi","fillers","hebb",17,592569,"0.0-4.0-13.0","8b02mgpacf8u",NA,"Employee Lothe is assigned to project Rivo.","Lothe","supports sth. of",9334,3,"is assigned to","Lothe","Rivo","Rivo","1",15,TRUE,TRUE,FALSE,0,0.666666666666667,"employee1","order","none","none","afternoon",NA,9,5,1,9.14152605597582
"4051","employee","Lothe,Rivo,Zimob,Newi,Thusoth,Pishi","fillers","hebb",17,592569,"0.0-4.0-13.0","8b02mgpacf8u",NA,"Project Rivo supports agenda of manager Zimob.","Rivo","emphasizes sth. of",8768,3,"supports sth. of","Rivo","Zimob","Zimob","2",15,TRUE,TRUE,FALSE,0,0.666666666666667,"employee2","syno","none","none","afternoon",NA,9,5,1,9.07897805377936
"4052","employee","Lothe,Rivo,Zimob,Newi,Thusoth,Pishi","fillers","hebb",17,592569,"0.0-4.0-13.0","8b02mgpacf8u",NA,"Manager Zimob gets a promotion.","Zimob","gets a promotion",5488,2,"gets a promotion","Zimob",NA,NA,"3",15,TRUE,NA,TRUE,0,1,"employee3","none","none",NA,"afternoon",NA,9,5,1,8.61050136854989
"406","farm","Mawi,Uvman,Pobat,Napib,Olef,Mabi","fillers","hebb",18,629817,"0.0-4.0-14.0","8b02mgpacf8u",NA,"Farmer Mawi purchases machine Uvman.","Mabi","can collect",7310,3,"purchases","Mawi","Uvman","Uvman","1",16,FALSE,TRUE,FALSE,0,0.333333333333333,"farm1","order","other","none","afternoon",NA,10,6,0,8.89713534229332
"4061","farm","Mawi,Uvman,Pobat,Napib,Olef,Mabi","fillers","hebb",18,629817,"0.0-4.0-14.0","8b02mgpacf8u",NA,"Machine Uvman can collect fruit of plant Pobat.","Uvman","are picked manually",12264,3,"can collect","Uvman","Olef","Pobat","2",16,TRUE,FALSE,FALSE,0,0.333333333333333,"farm2","order-grasyn","none","other","afternoon",NA,10,6,0,9.41450495669259
"4062","farm","Mawi,Uvman,Pobat,Napib,Olef,Mabi","fillers","hebb",18,629817,"0.0-4.0-14.0","8b02mgpacf8u",NA,"Plant Pobat are harvested automatically.","Olef","are harvested automatically",7168,2,"are harvested automatically","Pobat",NA,NA,"3",16,FALSE,NA,TRUE,0,0.5,"farm3","none","other",NA,"afternoon",NA,10,6,0,8.87752145385287
"407","fox","Uhuy,Dohod,Gabit,Pide,Upel,Wehif","analogues","hebb",19,670130,"0.0-4.0-15.0","8b02mgpacf8u",NA,"Fox Uhuy digs tunnel Dohod.","Dohod","digs",12774,3,"digs","Uhuy","Uhuy","Dohod","1",17,FALSE,FALSE,TRUE,0,0.333333333333333,"fox1","none","intra-stat","intra-stat","afternoon",NA,11,5,1,9.45524541507191
"4071","fox","Uhuy,Dohod,Gabit,Pide,Upel,Wehif","analogues","hebb",19,670130,"0.0-4.0-15.0","8b02mgpacf8u",NA,"Tunnel Dohod leads to coop of chicken Gabit.","Uhuy","burrow",9528,3,"leads to sth. of","Dohod","Gabit","Gabit","2",17,FALSE,TRUE,FALSE,0,0.333333333333333,"fox2","order-syno","inter-stat","none","afternoon",NA,11,5,1,9.16209505934819
"4072","fox","Uhuy,Dohod,Gabit,Pide,Upel,Wehif","analogues","hebb",19,670130,"0.0-4.0-15.0","8b02mgpacf8u",NA,"Chicken Gabit is devoured.","Gabit","burrow",7504,2,"is devoured","Gabit",NA,NA,"3",17,TRUE,NA,FALSE,0,0.5,"fox3","order-syno","none",NA,"afternoon",NA,11,5,1,8.92332474406756
"408","hacker","Matmag,Molash,Reok,Afik,Upum,Saly","analogues","hebb",20,711492,"0.0-4.0-16.0","8b02mgpacf8u",NA,"Hacker Matmag writes computer code Molash.","Matmag","catches sth. of",11863,3,"writes","Matmag","Molash","Molash","1",18,TRUE,TRUE,FALSE,0,0.666666666666667,"hacker1","order-grasyn","none","none","afternoon",NA,12,6,0,9.38126388381777
"4081","hacker","Matmag,Molash,Reok,Afik,Upum,Saly","analogues","hebb",20,711492,"0.0-4.0-16.0","8b02mgpacf8u",NA,"Code Molash cracks the firewall of company Reok.","Molash","penetrates sth. of",11192,4,"cracks sth. of","Molash","Reok","Reok","2",18,TRUE,TRUE,FALSE,0,0.666666666666667,"hacker2","syno","none","none","afternoon",NA,12,6,0,9.32304386188927
"4082","hacker","Matmag,Molash,Reok,Afik,Upum,Saly","analogues","hebb",20,711492,"0.0-4.0-16.0","8b02mgpacf8u",NA,"Company Reok suffers a data loss.","Reok","leaks sth.",7803,2,"suffers sth.","Reok",NA,NA,"3",18,TRUE,NA,FALSE,0,0.5,"hacker3","syno","none",NA,"afternoon",NA,12,6,0,8.962391701743
"4121","robber","Wutoc,Gena,Itbob,Kewos,Zidep,Olag","analogues","hebb",7,406050,"0.0-4.0-3.0","8vtmn4bwrenn",NA,"Criminal Wutoc learns about security issue Gena.","Wutoc","learns about",16392,3,"learns about","Wutoc","Gena","Gena","1",5,TRUE,TRUE,TRUE,0,1,"robber1","none","none","none","night",NA,1,1,1,9.70460969342646
"4122","robber","Wutoc,Gena,Itbob,Kewos,Zidep,Olag","analogues","hebb",7,406050,"0.0-4.0-3.0","8vtmn4bwrenn",NA,"Security issue Gena suspends alarm system of museum Itbob.","Gena","suspends sth. of",18944,3,"suspends sth. of","Gena","Itbob","Itbob","2",5,TRUE,TRUE,TRUE,0,1,"robber2","none","none","none","night",NA,1,1,1,9.8492953234527
"4123","robber","Wutoc,Gena,Itbob,Kewos,Zidep,Olag","analogues","hebb",7,406050,"0.0-4.0-3.0","8vtmn4bwrenn",NA,"Museum Itbob gets robbed.","Itbob","gets robbed",19991,2,"gets robbed","Itbob",NA,NA,"3",5,TRUE,NA,TRUE,0,1,"robber3","none","none",NA,"night",NA,1,1,1,9.90308747251479
"4131","fox","Yuxeh,Hadith,Goxos,Afik,Henu,Avyth","analogues","hebb",8,470512,"0.0-4.0-4.0","8vtmn4bwrenn",NA,"Fox Yuxeh digs tunnel Hadith.","Yuxeh","digs",15392,3,"digs","Yuxeh","Hadith","Hadith","1",6,TRUE,TRUE,TRUE,0,1,"fox1","none","none","none","night",NA,2,2,0,9.64166813961007
"4132","fox","Yuxeh,Hadith,Goxos,Afik,Henu,Avyth","analogues","hebb",8,470512,"0.0-4.0-4.0","8vtmn4bwrenn",NA,"Tunnel Hadith leads to coop of chicken Goxos.","Hadith","leads to sth. of",16408,3,"leads to sth. of","Hadith","Goxos","Goxos","2",6,TRUE,TRUE,TRUE,0,1,"fox2","none","none","none","night",NA,2,2,0,9.70558524377515
"4133","fox","Yuxeh,Hadith,Goxos,Afik,Henu,Avyth","analogues","hebb",8,470512,"0.0-4.0-4.0","8vtmn4bwrenn",NA,"Chicken Goxos is devoured.","Goxos","is devoured",22159,2,"is devoured","Goxos",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"fox3","none","none",NA,"night",NA,2,2,0,10.0060441408612
"414","mining","Pobat,Kesal,Owmi,Misug,Ilres,Zimob","fillers","hebb",9,530366,"0.0-4.0-5.0","8vtmn4bwrenn",NA,"Mining company Pobat has a lot of resource Kesal.","Pobat","has a lot of",15817,3,"has a lot of","Pobat","Kesal","Kesal","1",7,TRUE,TRUE,TRUE,0,1,"mining1","none","none","none","night",NA,3,1,1,9.66890381107936
"4141","mining","Pobat,Kesal,Owmi,Misug,Ilres,Zimob","fillers","hebb",9,530366,"0.0-4.0-5.0","8vtmn4bwrenn",NA,"Resource Kesal is sparse in country Owmi.","Kesal","is sparse in",11352,3,"is sparse in","Kesal","Owmi","Owmi","2",7,TRUE,TRUE,TRUE,0,1,"mining2","none","none","none","night",NA,3,1,1,9.33723730516453
"4142","mining","Pobat,Kesal,Owmi,Misug,Ilres,Zimob","fillers","hebb",9,530366,"0.0-4.0-5.0","8vtmn4bwrenn",NA,"Country Owmi starts negotiating.","Owmi","starts negotiating",22183,2,"starts negotiating","Owmi",NA,NA,"3",7,TRUE,NA,TRUE,0,1,"mining3","none","none",NA,"night",NA,3,1,1,10.0071265872956
"415","storm","Aid,Hosen,Dugoz,Igoth,Thyra,Hize","fillers","hebb",10,590364,"0.0-4.0-6.0","8vtmn4bwrenn",NA,"Storm Aid hits tree Hosen.","Aid","hits",13928,3,"hits","Aid","Hosen","Hosen","1",8,TRUE,TRUE,TRUE,0,1,"storm1","none","none","none","night",NA,4,2,0,9.54172827668803
"4151","storm","Aid,Hosen,Dugoz,Igoth,Thyra,Hize","fillers","hebb",10,590364,"0.0-4.0-6.0","8vtmn4bwrenn",NA,"Tree Hosen falls on trail of route Dugoz.","Hosen","falls on",13992,3,"falls on","Hosen","Dugoz","Dugoz","2",8,TRUE,TRUE,TRUE,0,1,"storm2","none","none","none","night",NA,4,2,0,9.54631248355571
"4152","storm","Aid,Hosen,Dugoz,Igoth,Thyra,Hize","fillers","hebb",10,590364,"0.0-4.0-6.0","8vtmn4bwrenn",NA,"Route Dugoz is blocked.","Dugoz","is blocked",21575,3,"is blocked","Dugoz",NA,NA,"3",8,TRUE,NA,TRUE,0,1,"storm3","none","none",NA,"night",NA,4,2,0,9.97933686481957
"416","crusader","Diaf,Roze,Eefar,Potho,Upel,Turow","analogues","hebb",11,650602,"0.0-4.0-7.0","8vtmn4bwrenn",NA,"Crusader group Diaf buys weapon Roze.","Diaf","buys",13138,3,"buys","Diaf","Roze","Roze","1",9,TRUE,TRUE,TRUE,0,1,"crusader1","none","none","none","night",NA,5,3,1,9.48334018564182
"4161","crusader","Diaf,Roze,Eefar,Potho,Upel,Turow","analogues","hebb",11,650602,"0.0-4.0-7.0","8vtmn4bwrenn",NA,"Weapon Roze breaches the fortification of town Eefar.","Roze","breaches sth. of",12415,3,"breaches sth. of","Roze","Eefar","Eefar","2",9,TRUE,TRUE,TRUE,0,1,"crusader2","none","none","none","night",NA,5,3,1,9.426741242423
"4162","crusader","Diaf,Roze,Eefar,Potho,Upel,Turow","analogues","hebb",11,650602,"0.0-4.0-7.0","8vtmn4bwrenn",NA,"Town Eefar is invaded.","Eefar","is invaded",24184,2,"is invaded","Eefar",NA,NA,"3",9,TRUE,NA,TRUE,0,1,"crusader3","none","none",NA,"night",NA,5,3,1,10.0934878852571
"417","hacker","Lenik,Eyem,Uwit,Uyim,Hoyl,Thygef","analogues","hebb",12,711728,"0.0-4.0-8.0","8vtmn4bwrenn",NA,"Hacker Lenik writes computer code Eyem.","Lenik","writes",18145,3,"writes","Lenik","Eyem","Eyem","1",10,TRUE,TRUE,TRUE,0,1,"hacker1","none","none","none","night",NA,6,4,0,9.80620542972957
"4171","hacker","Lenik,Eyem,Uwit,Uyim,Hoyl,Thygef","analogues","hebb",12,711728,"0.0-4.0-8.0","8vtmn4bwrenn",NA,"Code Eyem cracks the firewall of company Uwit.","Eyem","cracks sth. of",11975,3,"cracks sth. of","Eyem","Uwit","Uwit","2",10,TRUE,TRUE,TRUE,0,1,"hacker2","none","none","none","night",NA,6,4,0,9.39065992609946
"4172","hacker","Lenik,Eyem,Uwit,Uyim,Hoyl,Thygef","analogues","hebb",12,711728,"0.0-4.0-8.0","8vtmn4bwrenn",NA,"Company Uwit suffers a data loss.","Uwit","suffers sth.",20471,2,"suffers sth.","Uwit",NA,NA,"3",10,TRUE,NA,TRUE,0,1,"hacker3","none","none",NA,"night",NA,6,4,0,9.92681337783963
"418","neighbor","Vuloz,Matmag,Lothe,Gabit,Owih,Thusoth","fillers","hebb",13,767094,"0.0-4.0-9.0","8vtmn4bwrenn",NA,"Man Vuloz takes care of cat Matmag.","Vuloz","takes care of",13247,3,"takes care of","Vuloz","Matmag","Matmag","1",11,TRUE,TRUE,TRUE,0,1,"neighbor1","none","none","none","night",NA,7,3,1,9.49160187662504
"4181","neighbor","Vuloz,Matmag,Lothe,Gabit,Owih,Thusoth","fillers","hebb",13,767094,"0.0-4.0-9.0","8vtmn4bwrenn",NA,"Cat Matmag walks over the flowers of neighbor Lothe","Matmag","walks over sth. of",11552,3,"walks over sth. of","Matmag","Lothe","Lothe","2",11,TRUE,TRUE,TRUE,0,1,"neighbor2","none","none","none","night",NA,7,3,1,9.35470042248302
"4182","neighbor","Vuloz,Matmag,Lothe,Gabit,Owih,Thusoth","fillers","hebb",13,767094,"0.0-4.0-9.0","8vtmn4bwrenn",NA,"Neighbor Lothe gets angry.","Lothe","gets angry",20063,2,"gets angry","Lothe",NA,NA,"3",11,TRUE,NA,TRUE,0,1,"neighbor3","none","none",NA,"night",NA,7,3,1,9.90668244343265
"419","employee","Ohan,Vivaf,Newi,Ofes,Napib,Afi","fillers","hebb",14,817252,"0.0-4.0-10.0","8vtmn4bwrenn",NA,"Employee Ohan is assigned to project Vivaf.","Ohan","is assigned to",12095,3,"is assigned to","Ohan","Vivaf","Vivaf","1",12,TRUE,TRUE,TRUE,0,1,"employee1","none","none","none","night",NA,8,4,0,9.40063009841931
"4191","employee","Ohan,Vivaf,Newi,Ofes,Napib,Afi","fillers","hebb",14,817252,"0.0-4.0-10.0","8vtmn4bwrenn",NA,"Project Vivaf supports agenda of manager Newi.","Vivaf","supports sth. of",13103,3,"supports sth. of","Vivaf","Newi","Newi","2",12,TRUE,TRUE,TRUE,0,1,"employee2","none","none","none","night",NA,8,4,0,9.48067280609285
"4192","employee","Ohan,Vivaf,Newi,Ofes,Napib,Afi","fillers","hebb",14,817252,"0.0-4.0-10.0","8vtmn4bwrenn",NA,"Manager Newi gets a promotion.","Newi","gets a promotion",14456,2,"gets a promotion","Newi",NA,NA,"3",12,TRUE,NA,TRUE,0,1,"employee3","none","none",NA,"night",NA,8,4,0,9.57893400530844
"4221","bacteria","Molash,Thuha,Titho,Huluw,Niem,Ottha","analogues","hebb",17,951968,"0.0-4.0-13.0","8vtmn4bwrenn",NA,"Bacteria Molash emits enzyme Thuha.","Molash","emits",13977,3,"emits","Molash","Thuha","Thuha","1",15,TRUE,TRUE,TRUE,0,1,"bacteria1","none","none","none","night",NA,9,5,1,9.54523994403707
"4222","bacteria","Molash,Thuha,Titho,Huluw,Niem,Ottha","analogues","hebb",17,951968,"0.0-4.0-13.0","8vtmn4bwrenn",NA,"Enzyme Thuha dissolves the membrane of organ Titho.","Thuha","dissolves sth. of",10272,3,"dissolves sth. of","Thuha","Titho","Titho","2",15,TRUE,TRUE,TRUE,0,1,"bacteria2","none","none","none","night",NA,9,5,1,9.23727437321626
"4223","bacteria","Molash,Thuha,Titho,Huluw,Niem,Ottha","analogues","hebb",17,951968,"0.0-4.0-13.0","8vtmn4bwrenn",NA,"Organ Titho fails.","Titho","fails",18376,2,"fails","Titho",NA,NA,"3",15,TRUE,NA,TRUE,0,1,"bacteria3","none","none",NA,"night",NA,9,5,1,9.81885516169542
"4231","lawyer","Vilux,Mewep,Soav,Zishu,Upum,Romap","analogues","hebb",18,1004518,"0.0-4.0-14.0","8vtmn4bwrenn",NA,"Lawyer Vilux finds loophole Mewep.","Vilux","finds",14097,3,"finds","Vilux","Mewep","Mewep","1",16,TRUE,TRUE,TRUE,0,1,"lawyer1","none","none","none","night",NA,10,6,0,9.55378822233382
"4232","lawyer","Vilux,Mewep,Soav,Zishu,Upum,Romap","analogues","hebb",18,1004518,"0.0-4.0-14.0","8vtmn4bwrenn",NA,"Loophole Mewep bypasses contract of union Soav.","Mewep","bypasses sth. of",9280,3,"bypasses sth. of","Mewep","Soav","Soav","2",16,TRUE,TRUE,TRUE,0,1,"lawyer2","none","none","none","night",NA,10,6,0,9.13572457859539
"4233","lawyer","Vilux,Mewep,Soav,Zishu,Upum,Romap","analogues","hebb",18,1004518,"0.0-4.0-14.0","8vtmn4bwrenn",NA,"Union Soav loses a lawsuit.","Soav","loses sth.",18671,2,"loses sth.","Soav",NA,NA,"3",16,TRUE,NA,TRUE,0,1,"lawyer3","none","none",NA,"night",NA,10,6,0,9.83478035452634
"424","pump","Awiz,Ewey,Lyde,Vipal,Ifeh,Paza","fillers","hebb",19,1056901,"0.0-4.0-15.0","8vtmn4bwrenn",NA,"Plumber Awiz installs pump Ewey.","Awiz","installs",12888,3,"installs","Awiz","Ewey","Ewey","1",17,TRUE,TRUE,TRUE,0,1,"pump1","none","none","none","night",NA,11,5,1,9.46412951340478
"4241","pump","Awiz,Ewey,Lyde,Vipal,Ifeh,Paza","fillers","hebb",19,1056901,"0.0-4.0-15.0","8vtmn4bwrenn",NA,"Pump Ewey sucks water from ground Lyde.","Ewey","sucks sth. from",10208,3,"sucks sth. from","Ewey","Lyde","Lyde","2",17,TRUE,TRUE,TRUE,0,1,"pump2","none","none","none","night",NA,11,5,1,9.23102496316902
"4242","pump","Awiz,Ewey,Lyde,Vipal,Ifeh,Paza","fillers","hebb",19,1056901,"0.0-4.0-15.0","8vtmn4bwrenn",NA,"Ground Lyde dries up.","Lyde","dries up",18783,2,"dries up","Lyde",NA,NA,"3",17,TRUE,NA,TRUE,0,1,"pump3","none","none",NA,"night",NA,11,5,1,9.84076072262782
"425","farm","Rothuk,Wehif,Felac,Enmob,Uvman,Ezol","fillers","hebb",20,1132155,"0.0-4.0-16.0","8vtmn4bwrenn",NA,"Farmer Rothuk purchases machine Wehif.","Rothuk","purchases",12737,3,"purchases","Rothuk","Wehif","Wehif","1",18,TRUE,TRUE,TRUE,0,1,"farm1","none","none","none","night",NA,12,6,0,9.45234493093131
"4251","farm","Rothuk,Wehif,Felac,Enmob,Uvman,Ezol","fillers","hebb",20,1132155,"0.0-4.0-16.0","8vtmn4bwrenn",NA,"Machine Wehif can collect fruit of plant Felac.","Wehif","can collect",11176,3,"can collect","Wehif","Felac","Felac","2",18,TRUE,TRUE,TRUE,0,1,"farm2","none","none","none","night",NA,12,6,0,9.32161337438561
"4252","farm","Rothuk,Wehif,Felac,Enmob,Uvman,Ezol","fillers","hebb",20,1132155,"0.0-4.0-16.0","8vtmn4bwrenn",NA,"Plant Felac are harvested automatically.","Felac","are harvested automatically",40839,7,"are harvested automatically","Felac",NA,NA,"3",18,TRUE,NA,TRUE,0,1,"farm3","none","none",NA,"night",NA,12,6,0,10.6174172722786
"429","storm","Gelyp,Soav,Mabi,Turow,Owmi,Avyth","fillers","hebb",7,407217,"0.0-4.0-3.0","90w6mbbsyfn9",NA,"Storm Gelyp hits tree Soav.","Gelyp","runs over",63440,3,"hits","Gelyp","Soav","Soav","1",5,TRUE,TRUE,FALSE,0,0.666666666666667,"storm1","grasyn","none","none","morning",NA,1,1,1,11.0578656191101
"4291","storm","Gelyp,Soav,Mabi,Turow,Owmi,Avyth","fillers","hebb",7,407217,"0.0-4.0-3.0","90w6mbbsyfn9",NA,"Tree Soav falls on trail of route Mabi.","Soav","blows off",12486,3,"falls on","Soav","Mabi","Mabi","2",5,TRUE,TRUE,FALSE,0,0.666666666666667,"storm2","order-syno","none","none","morning",NA,1,1,1,9.43244338211515
"4292","storm","Gelyp,Soav,Mabi,Turow,Owmi,Avyth","fillers","hebb",7,407217,"0.0-4.0-3.0","90w6mbbsyfn9",NA,"Route Mabi is blocked.","Mabi","is blocked",7432,2,"is blocked","Mabi",NA,NA,"3",5,TRUE,NA,TRUE,0,1,"storm3","none","none",NA,"morning",NA,1,1,1,8.91368482472529
"430","farm","Uyim,Ahow,Wecin,Napib,Newi,Idog","fillers","hebb",8,451550,"0.0-4.0-4.0","90w6mbbsyfn9",NA,"Farmer Uyim purchases machine Ahow.","Uyim","purchases",8534,3,"purchases","Uyim","Ahow","Ahow","1",6,TRUE,TRUE,TRUE,0,1,"farm1","none","none","none","morning",NA,2,2,0,9.05193063522854
"4301","farm","Uyim,Ahow,Wecin,Napib,Newi,Idog","fillers","hebb",8,451550,"0.0-4.0-4.0","90w6mbbsyfn9",NA,"Machine Ahow can collect fruit of plant Wecin.","Ahow","can collect",18890,3,"can collect","Ahow","Wecin","Wecin","2",6,TRUE,TRUE,TRUE,0,1,"farm2","none","none","none","morning",NA,2,2,0,9.84644089715685
"4302","farm","Uyim,Ahow,Wecin,Napib,Newi,Idog","fillers","hebb",8,451550,"0.0-4.0-4.0","90w6mbbsyfn9",NA,"Plant Wecin are harvested automatically.","Wecin","are harvested automatically",6353,2,"are harvested automatically","Wecin",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"farm3","none","none",NA,"morning",NA,2,2,0,8.75683981482946
"4311","crusader","Assit,Henu,Hadith,Hoyl,Ofes,Ubug","analogues","hebb",9,501396,"0.0-4.0-5.0","90w6mbbsyfn9",NA,"Crusader group Assit buys weapon Henu.","Assit","buys",11559,3,"buys","Assit","Henu","Henu","1",7,TRUE,TRUE,TRUE,0,1,"crusader1","none","none","none","morning",NA,3,1,1,9.35530614222637
"4312","crusader","Assit,Henu,Hadith,Hoyl,Ofes,Ubug","analogues","hebb",9,501396,"0.0-4.0-5.0","90w6mbbsyfn9",NA,"Weapon Henu breaches the fortification of town Hadith.","Henu","breaks sth. of",15290,3,"breaches sth. of","Henu","Hadith","Hadith","2",7,TRUE,TRUE,FALSE,0,0.666666666666667,"crusader2","syno","none","none","morning",NA,3,1,1,9.63501969900815
"4313","crusader","Assit,Henu,Hadith,Hoyl,Ofes,Ubug","analogues","hebb",9,501396,"0.0-4.0-5.0","90w6mbbsyfn9",NA,"Town Hadith is invaded.","Hadith","is invaded",12445,2,"is invaded","Hadith",NA,NA,"3",7,TRUE,NA,TRUE,0,1,"crusader3","none","none",NA,"morning",NA,3,1,1,9.42915456512916
"4321","bacteria","Ewey,Uvman,Matmag,Kewos,Reok,Yuxeh","analogues","hebb",10,552445,"0.0-4.0-6.0","90w6mbbsyfn9",NA,"Bacteria Ewey emits enzyme Uvman.","Ewey","emits",15891,3,"emits","Ewey","Uvman","Uvman","1",8,TRUE,TRUE,TRUE,0,1,"bacteria1","none","none","none","morning",NA,4,2,0,9.67357111693449
